SETTLEMENTDATE,BASTYAN,BBP31,BUTLERSG,CETHANA,CLUNY,CTHLWF,DEVILS_G,DG_TAS1,FISHER,GORDON,GRANWF,JBUTTERS,LEM_WIL,LI_WY_CA,LK_ECHO,MACKNTSH,MEADOWBK,MUSSELRO,NETIC,PALOONA,PTINA110,PTINA220,REECE,REPULSE,ROWALLAN,TARRALEA,TREVALLN,TRIBUTE,TUNGATIN,TVCCPS,WOOLNTH1
2023-07-24 00:00:00,78.24,0.0,8.1,98.0648,17.1449,115.782,62.5581,0,45.49,21.4713,24.59,141.268,79.4486,168.387,0.0,88.93,29.8375,18.0,0.0,30.92,7.20584,24.9754,236.547,32.0031,0.0,56.8,50.17,55.14,133.02,0,47.14
2023-07-24 00:05:00,78.23,0.0,8.0,97.2265,12.363,111.717,64.2988,0,45.52,21.7057,21.4,141.695,80.0798,169.455,0.0,89.6,30.0662,22.7,0.0,31.01,8.93712,27.0885,237.5,32.2325,0.0,56.9,50.04,57.1,133.91,0,46.87
2023-07-24 00:10:00,78.13,0.0,8.0,96.8672,12.1012,109.081,64.2866,0,45.48,21.8228,20.75,141.973,82.8576,169.329,0.0,89.53,29.9518,31.4,0.0,30.98,5.3692,25.2179,237.673,31.9213,0.0,56.8,50.07,57.38,129.01,0,61.62
2023-07-24 00:15:00,78.12,0.0,8.0,97.4061,12.3346,110.234,64.3745,0,45.45,22.8263,30.53,142.758,82.4268,170.023,0.0,89.52,30.009,35.8,0.0,30.72,5.196,24.8715,238.125,31.9139,0.0,57.0,49.96,57.86,122.78,0,52.01
2023-07-24 00:20:00,78.43,0.0,8.0,97.1666,12.2916,119.841,64.1475,0,45.49,22.7457,33.4,143.693,85.8661,170.092,0.0,89.74,30.1233,37.6,0.0,30.68,5.29992,25.0101,238.559,32.0482,0.0,56.8,50.19,58.21,119.16,0,43.49
2023-07-24 00:25:00,78.19,0.0,8.0,97.8851,12.1204,124.327,63.791,0,45.44,21.0977,24.4,143.207,85.5794,168.537,0.0,88.94,29.9518,39.3,0.0,30.61,5.23064,25.3565,236.087,31.6161,0.0,56.8,50.04,55.85,115.53,0,59.48
2023-07-24 00:30:00,78.21,0.0,8.1,96.6876,12.2394,126.946,63.9814,0,45.51,21.1197,18.73,143.121,85.4673,168.043,0.0,88.76,30.009,42.8,0.0,30.84,5.196,24.7676,236.331,31.9457,0.0,57.0,49.9,55.64,103.64,0,55.75
2023-07-24 00:35:00,78.02,0.0,8.0,97.2864,8.26322,129.888,64.2354,0,45.46,22.4308,30.13,143.799,84.0272,169.704,0.0,89.26,19.9774,45.1,0.0,30.75,5.16136,2.97904,237.83,31.8761,0.0,56.8,49.99,56.79,125.73,0,42.45
2023-07-24 00:40:00,78.11,0.0,8.0,97.466,8.28702,126.018,64.0962,0,45.45,23.1486,27.19,143.863,84.8564,170.263,0.0,89.4,20.0346,45.4,0.0,30.84,5.16136,1.0392,238.16,32.0031,0.0,56.8,49.95,59.72,126.65,0,44.08
2023-07-24 00:45:00,78.5,0.0,8.1,97.3463,8.28153,127.434,64.7041,0,45.41,21.691,19.83,143.452,86.0938,169.384,0.0,89.48,19.8917,47.3,0.0,30.75,5.16136,4.98816,236.968,31.8822,0.0,57.0,50.0,61.68,129.87,0,41.11
2023-07-24 00:50:00,78.5,0.0,8.0,97.3463,8.15793,129.906,64.6553,0,45.42,21.8302,13.15,143.559,85.8615,168.927,0.0,89.33,19.8631,49.7,0.0,30.57,5.26528,1.2124,237.109,31.8505,0.0,57.0,49.89,64.1,132.78,0,54.35
2023-07-24 00:55:00,78.1,0.0,8.0,96.8672,8.26322,131.292,64.3623,0,45.46,21.9327,19.14,144.002,85.8677,169.063,0.0,89.32,20.2346,46.0,0.0,30.98,5.29992,1.00456,238.038,32.0348,0.0,56.8,49.84,63.47,133.55,0,44.88
2023-07-24 01:00:00,78.24,0.0,8.1,97.7055,8.25315,135.332,64.211,0,45.48,22.2257,17.56,143.826,85.9315,169.246,0.0,89.64,20.2346,43.0,0.0,30.79,5.29992,1.17776,237.45,32.0983,0.0,56.9,49.89,62.61,133.46,0,39.51
2023-07-24 01:05:00,78.22,0.0,8.0,97.0469,8.31998,137.401,64.1719,0,45.52,21.7569,15.83,143.436,86.6023,168.965,0.0,89.35,20.1203,41.7,0.0,30.72,5.26528,3.60256,236.871,32.0543,0.0,57.1,49.81,65.08,132.82,0,41.38
