SETTLEMENTDATE,BANGOWF,BAYSW,BERYLSF,BHILLGT,BOCOROCK,BODWF,BOMENSF,BROKENH,CAPTL_WF,COLEASF,COLONGRA,COLWF0,CROOKWF,CRURWF,CRWASF,CULLERIN,DARLSF1,DG_NSW1,ERARING,ERGT01,FINLYSF,GNNDHSF,GOONSF,GRIFSF,GULLRGWF,GULLRSF,GULLRWF,GUNNING,HEZ1,HILLSTN,HUMENSW,JEMALNG,JUNEESF,LIDDELL,LIMOSF1,LIMOSF2,MANSLR,METZSF,MLSP,MOLNGSF,MOREESF,MP,NETIC,NEVERSF,NYNGAN,PARSF,ROYALLA,SAPHWF,SEBSF,SHOALHAV,SITHE,SNOWY1,SNOWY2,SNOWY3,SNOWY6,STWF,SUNRSF,SUNTPSF,TALLAWAR,TARALGA,URANQ,VP,WAGGNSF,WALGRV,WELLSF,WOODLWN,WRSF,WRWF,QBYNB,WSTWYSF,NEWENSF,AVLSF,RESS1,RIVNB2,DPNTB,WYASF,CAPBES,BWTR1,CONDONG1,FLYCRKWF,RYEPARK,TALWB,SHOAL1
2023-11-13 00:00:00,138.196,2004.71,0.0,0.0,35.78,15.7118,0.0,0.0,21.2308,0.0,0.0,4.45182,2.17594,14.198,0.0,0.87,0.0,0,926.064,0.0,0.0,0.0,0.0,0.001526,17.2547,0.0,2.57084,0.0,0.0,0.0,48.3966,0.0,0.0,,0.0,0.0,0.0,0.0,0.043,0.0,0.0,644.651,1545.56005859,0.0,0.0,0.00153,0.0,66.3722,0.0,0.0,0.1639,0.0,330.226,30.7,57.2,154.069,0.0,0.0,0,3.64019,0.0,639.863,0.0,2.77472,0.0,7.22911,0.0,77.3004,0.0,0.0,0.0,0.0,0.0015,0.0,0.0,0.0,0.0,14.1185,-1.6,0.0,77.2694,0.0,22.0
2023-11-13 00:05:00,135.596,2001.73,0.0,0.0,35.59,19.3917,0.0,0.0,20.7777,0.0,0.0,5.28649,1.83658,13.9989,0.0,0.9,0.0,0,927.846,0.0,0.0,0.0,0.0,0.001526,14.5398,0.0,3.51348,0.0,0.0,0.0,49.744,0.0,0.0,,0.0,0.0,0.0,0.0,0.043,0.0,0.0,658.518,1621.63000488,0.0,0.0,0.00153,0.0,67.3518,0.0,0.0,0.15386,0.0,239.719,31.3,57.4,151.586,0.0,0.0,0,3.74823,0.0,639.644,0.0,1.37852,0.0,8.29261,0.0,77.1783,0.0,0.0,0.0,0.0,0.1929,0.0,0.0,0.0,0.0,14.1185,-1.6,0.0,73.1907,0.0,22.0
2023-11-13 00:10:00,126.997,1968.21,0.0,0.0,41.28,18.8412,0.0,0.0,21.9535,0.0,0.0,5.02403,1.44778,13.0961,0.0,0.88,0.0,0,928.945,0.0,0.0,0.0,0.0,0.001526,9.96485,0.0,3.13896,0.0,0.0,0.0,49.1287,0.0,0.0,,0.0,0.0,0.0,0.0,0.043,0.0,0.0,658.079,1752.80004883,0.0,0.0,0.00153,0.0,67.9377,0.0,0.0,0.1639,0.0,175.04,31.3,57.4,150.905,0.0,0.0,0,4.14374,0.0,640.254,0.0,0.0,0.0,8.18714,0.0,75.0311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.4615,-1.58,0.0,61.9333,0.0,22.0
2023-11-13 00:15:00,113.395,1963.74,0.0,0.0,39.98,19.9715,0.0,0.0,20.2503,0.0,0.0,2.91676,1.37819,15.999,0.0,1.19,0.0,0,925.82,0.0,0.0,0.0,0.0,0.001526,7.00989,0.0,1.38381,0.0,0.0,0.0,49.218,0.0,0.0,,0.0,0.0,0.0,0.0,0.043,0.0,0.0,652.0,1741.82995605,0.0,0.0,0.00153,0.0,72.5338,0.0,0.0,0.1639,0.0,166.227,31.0,57.4,151.641,0.0,0.0,0,4.60151,0.0,637.959,0.0,0.0,0.0,6.4293,0.0,79.5257,0.0,0.0,0.0,0.0,0.0015,0.0,0.0,0.0,0.0,14.4615,-1.63,0.0,51.9268,0.0,22.0
2023-11-13 00:20:00,106.997,1954.27,0.0,0.0,35.38,20.3337,0.0,0.0,17.8909,0.0,0.0,2.89693,0.80873,12.5961,0.0,0.91,0.0,0,929.409,0.0,0.0,0.0,0.0,0.001526,5.15992,0.0,2.48515,0.0,0.0,0.0,48.9534,0.0,0.0,,0.0,0.0,0.0,0.0,0.043,0.0,0.0,648.46,1703.84997559,0.0,0.0,0.00153,0.0,80.5814,0.0,0.0,0.1639,0.0,160.132,30.7,57.4,152.146,0.0,0.0,0,3.18608,0.0,640.986,0.0,0.0,0.0,6.70176,0.0,80.6671,0.0,0.0,0.0,0.0,0.0015,0.0,0.0,0.0,0.0,14.4615,-2.23,0.0,43.4249,0.0,22.0
2023-11-13 00:25:00,105.596,1941.16,0.0,0.0,26.28,24.2229,0.0,0.0,17.7581,0.0,0.0,4.87449,1.61746,14.8972,0.0,1.29,0.0,0,929.799,0.0,0.0,0.0,0.0,0.001526,4.93993,0.0,1.25686,0.0,0.0,0.0,49.5102,0.0,0.0,,0.0,0.0,0.0,0.0,0.043,0.0,0.0,647.092,1650.34997559,0.0,0.0,0.00153,0.0,82.0645,0.0,0.0,0.19405,0.0,165.051,31.2,57.4,151.399,0.0,0.0,0,2.78691,0.0,638.472,0.0,5.9413,0.0,7.67736,0.0,79.7821,0.0,0.0,0.0,0.0,0.18393,0.0,0.0,0.0,0.0,14.4043,-2.17,0.0,38.8024,0.0,22.0
2023-11-13 00:30:00,99.4961,1930.88,0.0,0.0,27.82,24.8927,0.0,0.0,16.6487,0.0,0.0,8.12848,1.84634,12.6979,0.0,3.59,0.0,0,928.237,0.0,0.0,0.0,0.0,0.001526,2.68996,0.0,0.0,0.0,0.0,0.0,48.7781,0.0,0.0,,0.0,0.0,0.0,0.0,0.043,0.0,0.0,650.51,1626.98999023,0.0,0.0,0.00153,0.0,83.9597,0.0,0.0,0.1639,0.0,164.203,31.0,57.2,151.652,0.0,0.0,0,2.47929,0.0,639.546,0.0,5.4033,0.0,7.06212,0.0,75.0945,0.0,0.0,0.0,0.0,0.12412,0.0,0.0,0.0,0.0,14.0614,-2.16,0.0,39.3825,0.0,22.0
2023-11-13 00:35:00,93.8991,1920.28,0.0,0.0,26.6,25.6923,0.0,0.0,14.1565,0.0,0.0,9.5201,2.2858,13.0961,0.0,3.08,0.0,0,932.29,0.0,0.0,0.0,0.0,0.001526,2.25997,0.0,0.0,0.0,0.0,0.0,48.8365,0.0,0.0,,0.0,0.0,0.0,0.0,0.043,0.0,0.0,659.178,1667.08996582,0.0,0.0,0.00153,0.0,83.5386,0.0,0.0,0.15386,0.0,168.631,31.4,57.2,151.432,0.0,0.0,0,2.10575,0.0,641.45,0.0,7.15506,0.0,6.27109,0.0,68.3696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0614,-2.15,0.0,43.3706,0.0,22.0
2023-11-13 00:40:00,80.895,1905.73,0.0,0.0,27.08,26.6217,0.0,0.0,5.96493,0.0,0.0,10.8919,2.96696,14.698,0.0,3.04,0.0,0,928.042,0.0,0.0,0.0,0.0,0.001526,2.97496,0.0,0.0,0.00034,0.0,0.0,49.1872,0.0,0.0,,0.0,0.0,0.0,0.0,0.043,0.0,0.0,652.39,1676.38000488,0.0,0.0,0.00153,0.0,88.6473,0.0,0.0,0.15386,0.0,166.271,31.1,57.2,151.476,0.0,0.0,0,2.43717,0.0,642.427,0.0,0.0,0.0,5.82284,0.0,69.0361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0614,-2.08,0.0,41.6303,0.0,22.0
2023-11-13 00:45:00,76.2952,1897.43,0.0,0.0,26.0,26.0712,0.0,0.0,12.9104,0.0,0.0,11.8227,6.13535,19.4993,0.0,3.5,0.0,0,931.142,0.0,0.0,0.0,0.0,0.001526,2.51496,0.0,0.0,0.95647,0.0,0.0,48.9811,0.0,0.0,,0.0,0.0,0.0,0.0,0.043,0.0,0.0,655.418,1636.22998047,0.0,0.0,0.00153,0.0,87.2557,0.0,0.0,0.19405,0.0,162.293,31.2,57.2,151.136,0.0,0.0,0,3.67498,0.0,643.208,0.0,8.93289,0.0,5.90195,0.0,68.4611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0614,-2.23,0.0,41.6122,0.0,22.0
