SETTLEMENTDATE,BANGOWF,BAYSW,BERYLSF,BHILLGT,BOCOROCK,BODWF,BOMENSF,BROKENH,CAPTL_WF,COLEASF,COLONGRA,COLWF0,CROOKWF,CRURWF,CRWASF,CULLERIN,DARLSF1,DG_NSW1,ERARING,ERGT01,FINLYSF,GNNDHSF,GOONSF,GRIFSF,GULLRGWF,GULLRSF,GULLRWF,GUNNING,HEZ1,HILLSTN,HUMENSW,JEMALNG,JUNEESF,LIDDELL,LIMOSF1,LIMOSF2,MANSLR,METZSF,MLSP,MOLNGSF,MOREESF,MP,NETIC,NEVERSF,NYNGAN,PARSF,ROYALLA,SAPHWF,SEBSF,SHOALHAV,SITHE,SNOWY1,SNOWY2,SNOWY3,SNOWY6,STWF,SUNRSF,SUNTPSF,TALLAWAR,TARALGA,URANQ,VP,WAGGNSF,WALGRV,WELLSF,WOODLWN,WRSF,WRWF,QBYNB,WSTWYSF,NEWENSF,AVLSF,RESS1,RIVNB2,DPNTB,WYASF,CAPBES,BWTR1,CONDONG1
2023-08-21 00:00:00,14.6985,1841.1,0.0,0.0,21.6,13.292,0.0,0.0,0.0,0.0,0.0,20.8225,5.55245,3.59983,0.0,7.64,0.0,0,1397.26,0.0,0.0,0.0,0.0,0.001526,36.2145,0.0,1.31081,5.38164,0.0,0.0,25.8633,0.0,0.0,,0.0,0.0,0.0,0.0,0.011,0.0,0.0,897.084,1434.75,0.0,0.0,0.00153,0.0,13.3806,0.0,0.0,0.15386,0.0,551.141,31.5,70.8,0.0,0.0,0.0,0,24.5164,0.0,1123.89,0.0,0.0,0.0,4.03864,0.0,16.1325,0.0,0.0,0.0,0.0,0.03439,0.0015,0.01944,0.0,0.0,14.0042,21.96
2023-08-21 00:05:00,11.4968,1841.84,0.0,0.0,18.59,12.5824,0.0,0.0,0.0,0.0,0.0,19.266,5.68307,4.299,0.0,7.25,0.0,0,1399.0,0.0,0.0,0.0,0.0,0.001526,38.5544,0.0,0.54273,5.4602,0.0,0.0,25.568,0.0,0.0,,0.0,0.0,0.0,0.0,0.011,0.0,0.0,905.458,1342.92004395,0.0,0.0,0.00153,0.0,11.1833,0.0,0.0,0.1639,0.0,547.331,31.3,71.0,0.0,0.0,0.0,0,24.835,0.0,1126.79,0.0,6.62078,0.0,2.56205,0.0,16.1764,1.04648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0042,22.37
2023-08-21 00:10:00,9.79637,1840.47,0.0,0.0,18.82,13.7023,0.0,0.0,0.0,0.0,0.0,19.1348,5.5732,4.09987,0.0,7.06,0.0,0,1397.63,0.0,0.0,0.0,0.0,0.001526,36.0444,0.0,0.0,5.75299,0.0,0.0,25.7157,0.0,0.0,,0.0,0.0,0.0,0.0,0.011,0.0,0.0,915.908,1338.56994629,0.0,0.0,0.00153,0.0,10.6615,0.0,0.0,0.184,0.0,559.557,31.5,71.0,0.0,0.0,0.0,0,22.2312,0.0,1100.55,0.0,0.09401,0.0,1.29641,0.0,13.973,2.58346,0.0,0.0,0.0,0.08524,0.0643,0.04038,0.0,0.0,14.0042,22.14
2023-08-21 00:15:00,8.99603,1844.45,0.0,0.0,19.49,14.0916,0.0,0.0,0.0,0.0,0.0,17.261,4.77241,5.09995,0.0,6.43,0.0,0,1399.04,0.0,0.0,0.0,0.0,0.001526,31.0945,0.0,0.0,5.14281,0.0,0.0,26.0971,0.0,0.0,,0.0,0.0,0.0,0.0,0.011,0.0,0.0,927.016,1384.41003418,0.0,0.0,0.00153,0.0,8.64729,0.0,0.0,0.1639,0.0,562.688,31.6,71.0,0.0,0.0,0.0,0,22.8684,0.0,1116.44,0.0,0.0,0.0,0.0,0.0,10.4598,1.70047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0042,22.3
2023-08-21 00:20:00,7.29511,1845.55,0.0,0.0,19.88,13.6416,0.0,0.0,0.0,0.0,0.0,14.4137,4.92378,6.59564,0.0,6.18,0.0,0,1397.8,0.0,0.0,0.0,0.0,0.001526,27.8046,0.0,0.0,4.49851,0.0,0.0,26.537,0.0,0.0,,0.0,0.0,0.0,0.0,0.011,0.0,0.0,912.929,1372.45996094,0.0,0.0,0.00153,0.0,5.72671,0.0,0.0,0.184,0.0,551.724,30.8,70.7,0.0,0.0,0.0,0,25.344,0.0,1131.65,0.0,9.55839,0.0,0.0,0.0,8.65187,1.18648,0.0,0.0,0.0,0.0643,0.0015,0.0,0.0,0.0,14.0042,22.15
2023-08-21 00:25:00,6.4966,1837.56,0.0,0.0,22.35,11.6488,0.0,0.0,0.0,0.0,0.0,11.7464,4.76387,6.39651,0.0,6.24,0.0,0,1397.78,0.0,0.0,0.0,0.0,0.001526,24.2446,0.0,0.0,4.08035,0.0,0.0,26.1832,0.0,0.0,,0.0,0.0,0.0,0.0,0.011,0.0,0.0,903.627,1391.33996582,0.0,0.0,0.00153,0.0,3.2639,0.0,0.0,0.15386,0.0,542.919,30.5,70.9,0.0,0.0,0.0,0,25.1609,0.0,1102.21,0.0,0.0,0.0,0.0,0.0,7.4995,0.0,0.0,0.0,0.0,0.0015,0.0,0.0015,0.0,0.0,14.0614,22.5
2023-08-21 00:30:00,7.8983,1838.08,0.0,0.0,23.33,11.4416,0.0,0.0,0.0,0.0,0.0,9.08446,5.53414,8.39666,0.0,6.21,0.0,0,1397.95,0.0,0.0,0.0,0.0,0.001526,19.7747,0.0,0.0,2.35853,0.0,0.0,26.1248,0.0,0.0,,0.0,0.0,0.0,0.0,0.011,0.0,0.0,914.467,1368.4699707,0.0,0.0,0.00153,0.0,1.46944,0.0,0.0,0.17395,0.0,548.771,30.8,70.9,0.0,0.0,0.0,0,24.1611,0.0,1099.28,0.0,0.0,0.0,0.0,0.0,6.40757,1.08348,0.0,0.0,0.0,0.0,0.0,0.0015,0.0,0.0,14.0614,20.75
2023-08-21 00:35:00,7.19395,1846.67,0.0,0.0,22.77,11.7598,0.0,0.0,0.0,0.0,0.0,5.58328,5.31441,8.59579,0.0,4.58,0.0,0,1399.31,0.0,0.0,0.0,0.0,0.001526,16.2847,0.0,0.0,1.75787,0.0,0.0,25.8633,0.0,0.0,,0.0,0.0,0.0,0.0,0.011,0.0,0.0,925.136,1280.04003906,0.0,0.0,0.00153,0.0,1.21309,0.0,0.0,0.184,0.0,563.033,31.5,70.9,0.0,0.0,0.0,0,21.7478,0.0,1101.82,0.0,0.03258,0.0,0.0,0.0,5.67453,2.84046,0.0,0.0,0.0,0.01346,0.08823,0.0,0.0,0.0,14.0614,19.54
2023-08-21 00:40:00,6.39498,1840.47,0.0,0.0,22.11,11.2825,0.0,0.0,0.0,0.0,0.0,2.33997,3.62493,6.99832,0.0,2.86,0.0,0,1397.82,0.0,0.0,0.0,0.0,0.001526,12.6948,0.0,0.0,1.66662,0.0,0.0,26.1556,0.0,0.0,,0.0,0.0,0.0,0.0,0.011,0.0,0.0,906.825,1391.17004395,0.0,0.0,0.00153,0.0,0.0,0.0,0.0,0.1639,0.0,543.834,30.6,70.9,0.0,0.0,0.0,0,20.4404,0.0,1131.36,0.0,0.0,0.0,0.0,0.0,4.23285,0.63149,0.0,0.0,0.0,0.05533,0.0015,0.0015,0.0,0.0,14.0614,19.53
2023-08-21 00:45:00,4.99679,1827.58,0.0,0.0,24.17,11.4521,0.0,0.0,0.0,0.0,0.0,0.09308,2.45548,6.29915,0.0,1.59,0.0,0,1394.36,0.0,0.0,0.0,0.0,0.001526,9.78485,0.0,0.0,1.08104,0.0,0.0,26.0663,0.0,0.0,,0.0,0.0,0.0,0.0,0.011,0.0,0.0,901.332,1380.19995117,0.0,0.0,0.00153,0.0,0.0,0.0,0.0,0.1639,0.0,540.155,30.9,70.9,0.0,0.0,0.0,0,19.1366,0.0,1096.54,0.0,0.13497,0.0,0.0,0.0,3.61578,0.0,0.0,0.0,0.0,0.0,0.0,0.0015,0.0,0.0,14.0614,19.62
