SETTLEMENTDATE,AGLSOM,ARWF,BALB,BANN,BHWF,BRYB1WF,BULBES,BULGANA,CHALLWF,CHYTWF,CLOVER,COHUNSF,CROWLWF,DARTM,DEIBDL,DG_VIC1,DIAPURWF,DUNDWF,EILDON,ELAINWF,GANNB,GANNSF,GLRWNSF,HUMEV,JEERA,JEERB,KARSF,KIAMSF,KIWF,LNGS,LOYYANGA,LOYYB,MACARTH,MCKAY,MLWF,MOORAWF,MORTLK,MRTLSWF,MTGELWF,MTMERCER,MURRAY,MUWAWF,NETIC,NEWPORT,NUMURSF,OAKLAND,PORTWF,RUBICON,SALTCRK,STOCKYD,VBB,VPGS,WAUBRAWF,WEMENSF,WINTSF,WKIEWA,YALLOURN,YAMBUK,YATSF,YENDWF,YSWF,BRYB2WF,HBESS,PIBESS,GLENSF,HD1WF,GIRGSF,RYANCWF,GPWFEST,RANGEB
2024-09-02 00:00:00,0.0,157.4,,0.0,83.006,171.942,0.0,180.23,37.1,56.22,-2.0,0.0,55.5848,0.0,0.0,0,0.0,70.98,0.0,53.75,,0.0,0.0,0.0,0.1,0.0,0.0,0.0,26.1,0.0,1197.0,696.75,221.1,0.0,19.635,202.34,0.0,131.96,36.1415,49.0,0.0,0.4,0.0,0.0,0.0,3.8,21.6,1.215,0.0,436.15,0.0,0.0,41.749,0.0,0.0,0.1,956.697,1.4,0.0,95.44,12.3,102.104,0.0,0.0,0.0,162.62,0.0,59.09,0.0,
2024-09-02 00:05:00,0.0,154.5,,0.0,80.628,173.144,0.51,178.77,35.9,56.25,-2.0,0.0,57.0921,0.0,0.0,0,0.0,77.98,0.0,46.42,,0.0,0.0,0.0,0.1,0.0,0.0,0.0,26.2,0.0,1220.0,676.5,204.3,0.0,19.83,204.68,0.0,129.1,29.3496,33.9,0.0,0.0,0.0,0.0,0.0,3.7,23.5,1.215,0.0,452.31,47.3,0.0,34.54,0.0,0.0,0.1,968.392,1.1,0.0,100.17,14.5,102.415,0.0,0.0,0.0,164.04,0.0,56.77,0.0,
2024-09-02 00:10:00,0.0,158.5,,0.0,60.174,172.113,0.43,180.8,36.2,52.88,-2.0,0.0,57.7229,0.0,0.0,0,0.0,79.47,0.0,50.29,,0.0,0.0,0.0,0.1,0.0,0.0,0.0,26.3,0.0,1222.0,657.375,154.5,0.0,19.83,206.92,0.0,111.39,37.5393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.1,1.215,0.0,464.7,35.9,0.0,34.521,0.0,0.0,0.0,966.694,11.7,0.0,97.41,16.3,101.494,0.0,0.0,0.0,164.96,0.0,61.02,0.0,
2024-09-02 00:15:00,0.0,160.5,,0.0,64.182,172.302,0.3,179.52,35.6,52.78,-2.0,0.0,59.2527,0.0,0.0,0,0.0,88.31,0.0,50.33,,0.0,0.0,0.0,0.1,0.0,0.0,0.0,26.4,0.0,1218.0,667.5,144.1,0.0,19.755,216.05,0.0,105.44,53.1434,3.1,0.0,0.1,0.0,0.0,0.0,0.0,13.7,1.215,3.15,469.69,51.0,0.0,38.607,0.0,0.0,0.1,967.606,16.3,0.0,99.52,13.9,102.19,0.0,0.0,0.0,147.16,0.0,60.51,0.0,
2024-09-02 00:20:00,0.0,160.8,,0.0,64.676,170.068,0.0,180.99,37.0,53.22,-2.0,0.0,66.3716,0.0,0.0,0,0.0,90.23,0.0,42.61,,0.0,0.0,0.0,0.1,0.0,0.0,0.0,14.3,0.0,1195.0,637.125,151.8,0.0,18.285,216.47,0.0,102.64,46.5941,70.2,0.0,0.7,0.0,0.0,0.0,3.2,9.3,1.215,0.0,480.92,9.3,0.0,49.637,0.0,0.0,0.1,957.075,21.4,0.0,81.85,16.5,100.487,0.0,0.0,0.0,162.92,0.0,61.21,0.0,
2024-09-02 00:25:00,0.0,160.2,,0.0,68.37,172.467,0.11,181.46,34.7,53.18,-2.0,0.0,66.5068,0.0,0.0,0,0.0,101.62,0.0,25.94,,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.4,0.0,1211.0,643.125,201.3,0.0,18.405,161.57,0.0,111.14,39.9747,0.0,0.0,0.3,0.0,0.0,0.0,1.6,7.2,1.215,0.0,499.7,26.9,0.0,67.874,0.0,0.0,0.1,974.946,26.2,0.0,63.01,13.3,101.854,0.0,0.0,0.0,164.46,0.0,60.91,0.0,
2024-09-02 00:30:00,0.0,160.1,,0.0,68.651,171.893,0.02,179.29,35.9,53.03,-2.0,0.0,63.7256,0.0,0.0,0,0.0,105.16,0.0,1.67,,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,1216.0,643.5,227.4,0.0,18.195,107.76,0.0,62.54,29.6808,0.0,0.0,0.3,0.0,0.0,0.0,1.6,5.4,1.215,0.0,499.25,39.2,0.0,94.66,0.0,0.0,0.1,968.58,27.4,0.0,44.01,9.9,101.964,0.0,0.0,0.0,164.18,0.0,61.05,0.0,
2024-09-02 00:35:00,0.0,161.6,,0.0,74.477,171.618,0.14,177.71,35.7,53.17,-2.0,0.0,66.5805,0.0,0.0,0,0.0,92.06,0.0,14.67,,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,1213.0,642.75,243.2,0.0,0.0,68.36,0.0,15.21,21.7567,0.0,0.0,0.0,0.0,0.0,0.0,1.6,5.3,1.215,0.0,499.98,43.1,0.0,106.597,0.0,0.0,0.1,966.258,28.1,0.0,87.88,8.3,102.391,0.0,0.0,0.0,164.58,0.0,61.42,0.0,
2024-09-02 00:40:00,0.0,149.3,,0.0,79.474,171.893,0.0,176.77,34.6,52.86,-2.0,0.0,62.4497,0.0,0.0,0,0.0,86.0,0.0,64.0,,0.0,0.0,0.0,0.1,0.0,0.0,0.0,26.1,0.0,1198.0,639.0,236.9,0.0,4.935,54.48,0.0,4.18,35.6059,0.0,0.0,0.0,0.0,0.0,0.0,1.6,3.4,1.215,2.44,502.23,33.7,0.0,108.1,0.0,0.0,0.1,966.949,29.3,0.0,88.67,8.1,101.573,0.0,0.0,0.0,147.1,0.0,60.84,0.0,
2024-09-02 00:45:00,0.0,142.6,,0.0,82.984,170.837,0.0,180.1,35.9,53.06,-2.0,0.0,62.0257,0.0,0.0,0,0.0,65.1,0.0,69.68,,0.0,0.0,0.0,0.1,0.0,0.0,0.0,26.1,0.0,1193.0,636.75,235.3,0.0,13.56,51.31,0.0,7.92,45.9319,0.0,0.0,0.4,0.0,0.0,0.0,1.6,1.4,1.215,45.9,502.65,10.6,0.0,118.061,0.0,0.0,0.1,960.019,28.5,0.0,99.81,8.2,101.048,0.0,0.0,0.0,139.68,0.0,60.78,0.0,
2024-09-02 00:50:00,0.0,135.6,,0.0,82.98,169.512,0.0,177.06,36.5,56.86,-2.0,0.0,64.4383,0.0,0.0,0,0.0,47.09,0.0,67.61,,0.0,0.0,0.0,0.1,0.0,0.0,0.0,11.4,0.0,1192.0,637.125,233.9,0.0,18.33,58.62,0.0,30.77,60.5075,0.0,0.0,0.2,0.0,0.0,0.0,0.0,-0.6,1.215,3.39,499.61,0.0,0.0,128.517,0.0,0.0,0.1,966.854,29.1,0.0,112.27,8.0,101.549,0.0,0.0,0.0,146.9,0.0,60.18,0.0,
2024-09-02 00:55:00,0.0,128.1,,0.0,84.328,171.997,0.15,180.12,37.1,53.18,-2.0,0.0,64.6083,0.0,0.0,0,0.0,30.49,0.0,6.44,,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,1216.0,643.875,232.0,0.0,18.285,101.15,0.0,40.18,63.1886,0.0,0.0,0.2,0.0,0.0,0.0,0.0,1.2,1.215,0.0,500.16,47.1,0.0,141.5,0.0,0.0,0.1,966.48,28.4,0.0,14.69,8.1,102.22,0.0,0.0,0.0,162.8,0.0,61.09,0.0,
