SETTLEMENTDATE,B2PS,BARCALDN,BARCSF,BARRON,BLUEGSF,BRAEMARA,CALLIDE,CALLIDEC,CHILDSF,CLARESF,CLERMSF,COLUMSF,COOPGWF,CPSA,CSPVPS,DAYDSF,DDPS1,DDSF,DG_QLD1,EMERASF,G/STONE,GANGARR,GERMCRK,HAMISF,HAUGHT11,HAYMSF,HUGSF,KAREEYA,KEPBG,KEPSF,KEPWF,KOGANCK,KS,LILYSF,LRSF,MARYRSF,MBAHNTH,MEWF,MIDDLSF,MILLMERN,MSTUART,NETIC,OAKEY,OAKEYSF,PIONEER,ROMA,RPCG,RRSF,RUGBYR1,SMCSF,SRSF,STANWELL,SWANBANK,TARONG,TARONGN,WANDB1,WARWSF,WDGPH,WHITSF,WIVENHOE,WOOLGSF,YABULU,YARANSF,YARWUN,KABANWF,MOUSF,NEV,EDENVSF,WANDSF,DULAWF,BBATTERY,CHBESS,WDBESS,MCINTYR
2024-08-12 00:00:00,140.43,0.0,0.0,28.6,0.0,0.0,280.5,0.0,0.0,0.0,0.0,0.0,74.77,0.0,0.0,0.0,417.882,0.0,0,0.0,882.219,0.0,16.568,0.0,0.0,0.0,-0.055,64.5325,0.0,0.0,32.16,704.648,0.0,0.0,-0.031,0.0,41.325,48.3738,0.0,817.166,0.0,0.0,0.0,0.0,-1.6,0.0,9.2,0.0,0.0,0.0,0.0,611.986,0.2175,1209.3,397.563,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.11,13.419,0.0,,0.2495,0.0,136.0,0.0,-0.55014,0.01958,
2024-08-12 00:05:00,164.449,0.0,0.0,28.6,0.0,0.0,280.5,0.0,0.0,0.0,0.0,0.0,71.67,0.0,0.0,0.0,372.274,0.0,0,0.0,823.368,0.0,16.519,0.0,0.0,0.0,-0.055,64.5575,0.0,0.0,30.04,708.056,0.0,0.0,-0.031,0.0,41.8875,44.0812,0.0,819.531,0.0,0.0,0.0,0.0,-1.8,0.0,9.2,0.0,0.0,0.0,0.0,610.896,0.2175,1223.4,400.938,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.77,13.25,0.0,,0.2495,0.0,144.9,0.0,0.0629,0.01958,
2024-08-12 00:10:00,164.953,0.0,0.0,28.6,0.0,0.0,280.5,0.0,0.0,0.0,0.0,0.0,60.31,0.0,0.0,0.0,335.242,0.0,0,0.0,789.544,0.0,16.827,0.0,0.0,0.0,-0.055,64.715,0.0,0.0,31.43,702.668,0.0,0.0,-0.031,0.0,41.775,41.8632,0.0,815.93,0.0,0.0,0.0,0.0,-1.6,0.0,9.2,0.0,0.0,0.0,0.0,613.332,0.2175,1226.4,398.5,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.82,16.804,0.0,,0.2495,0.0,149.2,0.0,0.0,0.01958,
2024-08-12 00:15:00,164.087,0.0,0.0,28.6,0.0,0.0,280.5,0.0,0.0,0.0,0.0,0.0,59.35,0.0,0.0,0.0,329.758,0.0,0,0.0,747.462,0.0,17.697,0.0,0.0,0.0,-0.055,64.4175,0.0,0.0,32.24,702.214,0.0,0.0,-0.031,0.0,41.2312,44.3351,0.0,812.405,0.0,0.0,0.0,0.0,-1.6,0.0,9.2,0.0,0.0,0.0,0.0,608.358,0.2175,1216.7,398.5,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.72,16.214,0.0,,0.2495,0.0,148.0,0.0,-0.01927,0.01958,
2024-08-12 00:20:00,163.815,0.0,0.0,28.6,0.0,0.0,280.5,0.0,0.0,0.0,0.0,0.0,67.89,0.0,0.0,0.0,326.547,0.0,0,0.0,689.705,0.0,17.947,0.0,0.0,0.0,-0.055,64.66,0.0,0.0,32.61,700.469,0.0,0.0,-0.031,0.0,42.3375,40.8617,0.0,809.445,0.0,0.0,0.0,0.0,-1.6,0.0,9.2,0.0,0.0,0.0,0.0,606.82,0.2175,1212.0,396.438,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.87,18.126,0.0,,0.2495,0.0,155.0,29.0679,-0.5852,0.01958,
2024-08-12 00:25:00,164.026,0.0,0.0,28.6,0.0,0.0,280.6,0.0,0.0,0.0,0.0,0.0,81.42,0.0,0.0,0.0,325.73,0.0,0,0.0,666.176,0.0,17.564,0.0,0.0,0.0,-0.055,64.4425,0.0,0.0,27.57,700.351,0.0,0.0,-0.031,0.0,41.325,44.9761,0.0,807.293,0.0,0.0,0.0,0.0,-2.3,0.0,9.2,0.0,0.0,0.0,0.0,602.808,0.2175,1212.4,395.875,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.12,20.246,0.0,,0.2495,0.0,154.4,-1.30006,-0.69782,0.01958,
2024-08-12 00:30:00,140.198,0.0,0.0,28.6,0.0,0.0,280.6,0.0,0.0,0.0,0.0,0.0,79.06,0.0,0.0,0.0,327.09,0.0,0,0.0,665.595,0.0,17.937,0.0,0.0,0.0,-0.055,64.4625,0.0,0.0,27.46,703.658,0.0,0.0,-0.031,0.0,41.925,46.2336,0.0,808.88,0.0,0.0,0.0,0.0,-1.8,0.0,9.2,0.0,0.0,0.0,0.0,609.371,0.2175,1219.7,398.312,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.58,18.562,0.0,,0.2495,0.0,157.9,0.0,-0.57668,0.01958,
2024-08-12 00:35:00,164.721,0.0,0.0,28.6,0.0,0.0,279.7,0.0,0.0,0.0,0.0,0.0,81.12,0.0,0.0,0.0,326.285,0.0,0,0.0,670.223,0.0,17.934,0.0,0.0,0.0,-0.055,64.6025,0.0,0.0,29.35,701.996,0.0,0.0,-0.031,0.0,42.0,50.0,0.0,809.369,0.0,0.0,0.0,0.0,-1.5,0.0,9.2,0.0,0.0,0.0,0.0,608.294,0.2175,1220.4,399.25,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.07,18.507,0.0,,0.2495,0.0,157.4,0.0,-0.10215,0.01958,
2024-08-12 00:40:00,139.937,0.0,0.0,28.6,0.0,0.0,279.6,0.0,0.0,0.0,0.0,0.0,76.41,0.0,0.0,0.0,329.137,0.0,0,0.0,670.332,0.0,17.82,0.0,0.0,0.0,-0.055,64.48,0.0,0.0,24.06,709.147,0.0,0.0,-0.031,0.0,42.3188,54.3969,0.0,809.811,0.0,0.0,0.0,0.0,-1.5,0.0,9.2,0.0,0.0,0.0,0.0,608.781,0.2175,1224.0,399.25,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.07,18.635,0.0,,0.2495,0.0,151.5,0.0,0.0,0.01958,
2024-08-12 00:45:00,139.473,0.0,0.0,28.6,0.0,0.0,279.6,0.0,0.0,0.0,0.0,0.0,83.74,0.0,0.0,0.0,326.542,0.0,0,0.0,671.016,0.0,17.467,0.0,0.0,0.0,-0.055,64.485,0.0,0.0,20.71,704.313,0.0,0.0,-0.031,0.0,42.3,64.4301,0.0,808.972,0.0,0.0,0.0,0.0,-1.5,0.0,9.2,0.0,0.0,0.0,0.0,611.242,0.2175,1218.9,398.312,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.37,18.02,0.0,,0.2495,0.0,139.4,0.0,-0.36892,0.01958,
