SETTLEMENTDATE,ADPBA1,ADPPV,AGLHAL,ANGASTON,BARKIPS,BLUFF,BNGSF,BOWWBA,BOWWPV,CANUNDA1,CATHROCK,CLEMGPWF,DALNTH,DG_SA1,DRYCGT,HALLWF,HALLWF2,HORNSDAL,HORNSDAL2,HORNSDAL3,HORNSDPR,HVWWBA,HVWWPV,LADBROKE,LBB,LGAPWF,LGAPWF2,LKBONNY1,LKBONNY3,LKBONNY_2,LONSDALE,MAPS2PV,MAPS3PV,MBPS2PV,MINTARO,MTMILLAR,MWPSPV,NBHWF,NETIC,NPPPPS,OSBORNE,PAREPW,PORTLCN,QUARANTN,SNAPPER1,SNOWNTH,SNOWSTH,SNOWTOWN,SNUG,STANVAC,STARFHILL,TBSF,TORRIS,WATERLWF,WGWF,WPWF,CBWWBA,PAREPS,BOLIVPS,TB2B,TB2SF,TI,GSWF
2023-07-31 00:00:00,0.0,0.0,0.0,-0.1,0.0,2.7,0.0,0.0,0.0,39.446,48.7,0.0,0.02594,0,0.0,16.13,37.92,24.0,8.2,12.7,0.0,0.0,0.0,0.02,0.0,43.9,20.72,78.0564,31.8186,112.713,0.0,0.0,0.0,0.0,0.08545,17.7,0.0,12.1,456.209991455,348.71,0.0,0.0,0.0,0.0,0.0,23.1,79.6,39.9818,0.0,0.0,9.89711,0.0,0.0,37.5,13.6,20.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-07-31 00:05:00,0.0,0.0,0.0,-0.1,0.0,2.7,0.0,0.001,0.0,40.0467,51.4,0.0,0.0,0,0.0,17.36,42.14,24.8,8.8,12.5,0.0,0.0,0.0,0.04,0.0,39.23,19.77,76.9847,31.9302,113.416,0.0,0.0,0.0,0.0,0.08545,18.2,0.0,14.7,441.910003662,358.106,0.0,0.0,0.0,0.0,0.0,19.6,79.2,38.2636,0.0,0.0,11.7966,0.0,0.0,38.7,21.1,21.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-07-31 00:10:00,0.0,0.0,0.0,-0.1,0.0,4.0,0.0,0.001,0.0,40.0467,45.4,0.0,0.0,0,0.0,20.29,45.8,23.0,9.1,13.3,2.5,0.0,0.0,0.03,0.0,37.13,20.84,77.6099,31.9302,113.416,0.0,0.0,0.0,0.0,0.08545,19.2,0.0,18.1,477.970001221,362.803,0.0,0.0,0.0,0.0,0.0,18.2,78.8,36.7972,0.0,0.0,13.796,0.0,0.0,40.9,24.6,22.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-07-31 00:15:00,0.0,0.0,0.0,-0.1,0.0,4.1,0.0,0.001,0.0,40.0467,42.8,0.0,0.0,0,0.0,23.41,49.39,21.6,10.1,12.9,0.0,0.0,0.0,0.03,0.0,38.38,18.94,76.9847,31.986,111.859,0.0,0.0,0.0,0.0,0.08545,20.1,0.0,24.3,439.070007324,354.079,0.0,0.0,0.0,0.0,0.0,18.6,78.9,36.1541,0.0,0.0,16.2952,0.0,0.0,41.0,28.1,23.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-07-31 00:20:00,0.0,0.0,0.0,-0.1,0.0,4.5,0.0,0.001,0.0,40.0467,39.8,0.0,0.10224,0,0.0,24.89,52.46,20.2,9.6,12.5,0.0,0.0,0.0,0.02,0.0,39.81,17.61,77.6992,32.0419,110.503,0.0,0.0,0.0,0.0,6.15253,19.2,0.0,21.5,426.940002441,353.408,0.0,0.0,0.0,0.0,0.0,20.3,76.4,35.5606,0.0,0.0,18.5946,0.0,0.0,40.4,32.9,21.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-07-31 00:25:00,0.0,0.0,0.0,-0.1,0.0,6.3,0.0,0.0,0.0,40.0467,36.7,0.0,0.0473,0,0.0,26.69,55.29,20.0,10.4,12.0,0.0,0.0,0.0,0.03,6.45,40.77,15.37,75.6451,31.9302,116.682,0.0,0.0,0.0,0.0,29.6133,20.1,0.0,26.3,387.200012207,360.119,0.0,0.0,0.0,0.0,0.0,21.5,79.5,34.2285,0.0,0.0,18.6945,0.0,0.0,42.7,46.1,22.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-07-31 00:30:00,0.0,0.0,0.0,-0.1,0.0,7.4,0.0,0.0,0.0,40.0467,44.8,0.0,0.00763,0,0.0,29.6,57.38,20.3,10.7,12.1,0.5,0.0,0.0,0.04,0.0,40.48,15.22,76.4489,31.8744,116.392,0.0,0.0,0.0,0.0,29.7842,16.3,0.0,28.4,389.890014648,354.079,0.0,0.0,0.0,0.0,0.0,24.0,80.5,36.5753,0.0,0.0,19.9942,0.0,0.0,44.9,55.1,21.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-07-31 00:35:00,0.0,0.0,0.0,-0.1,0.0,9.6,0.0,0.0,0.0,42.85,42.3,0.0,0.0,0,0.0,36.97,59.25,20.0,11.3,13.4,0.0,0.0,0.0,0.02,0.0,39.11,13.91,78.0564,31.3162,135.984,0.0,0.0,0.0,0.0,30.0448,16.3,0.0,29.9,436.920013428,356.092,0.0,0.0,0.0,0.0,0.0,26.1,79.5,36.3539,0.0,0.0,20.7939,0.0,0.0,49.6,61.2,22.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-07-31 00:40:00,0.0,0.0,0.0,-0.1,0.0,12.8,0.0,0.0,0.0,43.0502,38.3,0.0,0.0,0,0.0,37.51,60.7,21.5,12.0,12.9,0.0,0.0,0.0,0.03,0.0,42.21,15.55,77.6099,30.5905,135.175,0.0,0.0,0.0,0.0,29.6988,19.2,0.0,33.9,336.049987793,354.079,0.0,0.0,0.0,0.0,0.0,26.2,76.2,34.8765,0.0,0.0,17.8948,0.0,0.0,55.9,68.5,21.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-07-31 00:45:00,0.0,0.0,0.0,-0.1,0.0,16.8,0.0,0.001,0.0,41.0479,40.2,0.0,0.0,0,0.0,41.53,61.37,21.4,12.1,15.0,0.0,0.0,0.0,0.03,0.0,41.98,16.98,78.0564,30.5347,134.544,0.0,0.0,0.0,0.0,29.4851,21.1,0.0,39.7,349.959991455,355.421,0.0,0.0,0.0,0.0,0.0,26.7,73.9,35.9442,0.0,0.0,17.6948,0.0,0.0,59.6,73.2,21.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-07-31 00:50:00,0.0,0.0,0.0,-0.1,0.0,19.3,0.0,0.0,0.0,41.0479,43.6,0.0,0.0,0,0.0,44.31,62.97,20.7,11.6,15.5,0.0,0.0,0.0,0.03,0.0,44.81,18.25,74.5734,30.423,133.249,0.0,0.0,0.0,0.0,29.4424,19.2,0.0,42.6,370.5,353.408,0.0,0.0,0.0,0.0,0.0,28.9,74.1,38.835,0.0,0.0,17.9947,0.0,0.0,65.5,78.7,20.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-07-31 00:55:00,0.0,0.0,0.0,-0.1,0.0,19.0,0.0,0.0,0.0,40.3471,48.4,0.0,0.0,0,0.0,48.9,63.02,18.8,13.2,14.9,0.0,0.0,0.0,0.03,0.0,46.32,18.78,76.0023,30.5347,133.606,0.0,0.0,0.0,0.0,30.0021,21.1,0.0,46.4,292.869995117,355.421,0.0,0.0,0.0,0.0,0.0,30.7,73.1,37.2901,0.0,0.0,17.7948,0.0,0.0,72.0,88.0,21.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
