SETTLEMENTDATE,AGLSOM,ARWF,BALB,BANN,BHWF,BRYB1WF,BULBES,BULGANA,CHALLWF,CHYTWF,CLOVER,COHUNSF,CROWLWF,DARTM,DEIBDL,DG_VIC1,DIAPURWF,DUNDWF,EILDON,ELAINWF,GANNB,GANNSF,GLRWNSF,HUMEV,JEERA,JEERB,KARSF,KIAMSF,KIWF,LNGS,LOYYANGA,LOYYB,MACARTH,MCKAY,MLWF,MOORAWF,MORTLK,MRTLSWF,MTGELWF,MTMERCER,MURRAY,MUWAWF,NETIC,NEWPORT,NUMURSF,OAKLAND,PORTWF,RUBICON,SALTCRK,STOCKYD,VBB,VPGS,WAUBRAWF,WEMENSF,WINTSF,WKIEWA,YALLOURN,YAMBUK,YATSF,YENDWF,YSWF,BRYB2WF,HBESS,PIBESS,GLENSF,HD1WF
2024-07-15 00:00:00,0.0,38.6,0.0,0.0,102.463,50.6996,0.0,3.57,10.2,2.54,-0.01,0.0,20.0612,0.0,-0.06,0,0.0,81.97,0.0,23.04,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,22.4,0.0,2196.0,1166.62,0.0,13.87,5.415,118.59,124.0,18.38,34.2937,32.2,440.3,120.81,0.0,201.0,0.0,19.9,42.4,0.72,21.29,141.96,0.0,0.0,76.026,0.0,0.0,0.1,1068.36,-0.1,0.0,21.45,14.6,37.4121,0.0,0.0,0.0,6.8
2024-07-15 00:05:00,0.0,36.5,0.0,0.0,102.457,51.4809,0.0,4.8,10.2,1.9,-0.01,0.0,20.0899,0.0,0.0,0,0.0,80.25,0.0,19.09,1.19308,0.0,0.0,0.0,0.1,0.0,0.0,0.0,21.8,0.0,2199.0,1166.62,0.0,13.87,5.16,125.22,176.0,19.91,35.2473,31.6,402.0,119.98,0.0,160.5,0.0,17.9,40.6,0.72,19.97,149.22,0.0,0.0,80.742,0.0,0.0,0.1,1067.17,-0.1,0.0,29.84,18.7,39.6948,0.0,0.0,0.0,9.86
2024-07-15 00:10:00,0.0,34.5,0.0,0.0,101.337,57.4014,0.25,6.51,10.0,5.08,0.0,0.0,18.6368,0.0,0.0,0,0.0,85.99,0.0,19.77,2.35537,0.0,0.0,0.0,0.1,0.0,0.0,0.0,22.9,0.0,2218.0,1165.88,0.0,13.96,5.355,123.78,205.0,24.73,36.2178,31.7,411.2,111.85,0.0,112.5,0.0,17.3,29.5,0.72,18.33,159.55,8.6,0.0,78.231,0.0,0.0,0.1,1073.47,-0.1,0.0,37.42,20.6,44.1077,0.5,0.033,0.0,11.54
2024-07-15 00:15:00,0.0,32.4,0.0,0.0,102.638,54.3923,0.16,7.29,9.1,3.71,-0.01,0.0,18.4535,0.0,0.0,0,0.0,91.97,0.0,19.04,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,23.1,0.0,2219.0,1170.38,0.0,13.96,5.265,132.56,149.0,24.65,39.8831,28.9,355.1,110.06,0.0,101.25,0.0,15.9,26.8,0.72,16.13,172.82,5.8,0.0,77.069,0.0,0.0,0.1,1075.04,-0.1,0.0,34.63,19.6,39.1882,0.3,0.027,0.0,17.18
2024-07-15 00:20:00,0.0,26.5,0.0,0.0,102.137,46.3844,0.0,6.52,9.9,3.64,-0.01,0.0,19.2809,0.0,0.0,0,0.0,92.31,0.0,20.87,4.32723,0.0,0.0,0.0,0.1,0.0,0.0,0.0,22.4,0.0,2217.0,1169.62,0.0,13.96,4.725,127.47,124.0,24.25,46.53,27.0,301.4,109.9,0.0,101.25,0.0,14.8,25.4,0.72,14.13,171.6,0.0,0.0,76.301,0.0,0.0,0.1,1069.86,-0.1,0.0,26.73,21.6,33.4813,0.0,0.0,0.0,18.68
2024-07-15 00:25:00,0.0,25.4,0.0,0.0,102.317,34.5251,0.0,5.38,9.8,3.84,-0.02,0.0,18.9491,0.0,0.0,0,0.0,84.7,0.0,19.2,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,23.4,0.0,2204.0,1168.12,0.0,13.96,4.71,122.45,125.0,20.41,50.8866,23.3,267.1,109.56,0.0,102.375,0.0,14.4,47.4,0.72,16.59,168.82,3.9,0.0,71.457,0.0,0.0,0.1,1069.36,-0.1,0.0,24.54,21.6,26.9566,0.0,0.0,0.0,19.68
2024-07-15 00:30:00,0.0,23.5,0.0,0.0,102.056,28.5008,0.0,5.42,10.2,4.19,-0.01,0.0,16.3589,0.0,0.0,0,0.0,80.31,0.0,18.74,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,22.6,0.0,2210.0,1170.38,0.0,13.96,4.875,131.75,124.0,23.02,55.797,20.6,172.3,114.16,0.0,101.25,0.0,14.6,36.9,0.72,17.54,168.87,8.8,0.0,67.364,0.0,0.0,0.1,1070.62,-0.1,0.0,24.65,21.4,22.4826,0.0,0.0,0.0,26.96
2024-07-15 00:35:00,0.0,24.8,0.0,0.0,102.29,28.6961,0.59,5.53,9.3,4.95,-0.01,0.0,15.7686,0.0,0.0,0,0.0,89.65,0.0,16.81,6.81477,0.0,0.0,0.0,0.1,0.0,0.0,0.0,22.7,0.0,2217.0,1171.12,0.0,14.17,5.025,121.18,124.0,25.5,58.6886,22.5,147.4,124.77,0.0,104.625,0.0,15.1,32.9,0.72,18.81,160.94,7.4,0.0,67.283,0.0,0.03,0.1,1069.64,-0.1,0.0,20.37,20.3,21.3413,1.2,0.0,0.0,27.4
2024-07-15 00:40:00,0.0,25.5,0.0,0.0,100.064,28.9952,0.0,5.8,8.3,4.72,0.0,0.0,15.8116,0.0,0.0,0,0.0,87.89,0.0,16.31,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,21.8,0.0,2202.0,1167.38,0.0,13.96,5.145,112.24,125.0,27.06,59.5553,25.9,271.7,132.04,0.0,100.875,0.0,15.4,25.6,0.72,15.94,162.74,8.1,0.0,69.689,0.0,0.0,0.1,1068.55,-0.1,0.0,23.99,20.1,18.4054,0.0,0.0,0.0,21.08
2024-07-15 00:45:00,0.0,28.7,0.0,0.0,102.197,25.7054,0.0,5.72,8.5,6.51,-0.02,0.0,15.8976,0.0,0.0,0,0.0,86.74,0.0,15.37,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,21.0,0.0,2200.0,1167.0,0.0,13.96,5.01,112.99,124.0,31.47,57.5106,25.3,157.3,141.17,0.0,101.25,0.0,16.6,21.5,0.72,15.94,162.46,12.4,0.0,69.046,0.0,0.0,0.1,1068.17,-0.1,0.0,22.24,20.0,17.4105,0.0,0.0,0.0,22.24
2024-07-15 00:50:00,0.0,30.1,0.0,0.0,101.347,25.0217,0.16,6.23,8.5,6.53,0.0,0.0,13.931,0.0,0.0,0,0.0,83.69,0.0,13.93,0.94935,0.0,0.0,0.0,0.1,0.0,0.0,0.0,21.2,0.0,2209.0,1167.38,0.0,13.96,4.695,114.43,124.0,32.81,55.2599,28.6,119.6,145.7,0.0,101.25,0.0,17.7,20.3,0.72,17.02,158.9,0.0,0.0,70.622,0.0,0.0,0.1,1072.56,-0.1,0.0,21.49,20.6,18.5397,0.0,0.005,0.0,16.86
2024-07-15 00:55:00,0.0,31.6,0.0,0.0,101.537,23.9658,0.0,7.5,9.3,5.88,-0.01,0.0,13.4953,0.0,0.0,0,0.0,85.92,0.0,14.84,1.63695,0.0,0.0,0.0,0.1,0.0,0.0,0.0,20.2,0.0,2205.0,1168.12,0.0,13.96,4.395,122.17,124.0,33.55,57.2375,34.1,206.1,152.47,0.0,101.25,0.0,18.4,22.3,0.72,18.19,166.1,0.0,0.0,65.748,0.0,0.0,0.1,1070.49,-0.1,0.0,23.19,20.1,16.0739,0.0,0.0,0.0,11.76
