SETTLEMENTDATE,B2PS,BARCALDN,BARCSF,BARRON,BLUEGSF,BRAEMARA,CALLIDE,CALLIDEC,CHILDSF,CLARESF,CLERMSF,COLUMSF,COOPGWF,CPSA,CSPVPS,DAYDSF,DDPS1,DDSF,DG_QLD1,EMERASF,G/STONE,GANGARR,GERMCRK,HAMISF,HAUGHT11,HAYMSF,HUGSF,KAREEYA,KEPBG,KEPSF,KEPWF,KOGANCK,KS,LILYSF,LRSF,MARYRSF,MBAHNTH,MEWF,MIDDLSF,MILLMERN,MSTUART,NETIC,OAKEY,OAKEYSF,PIONEER,ROMA,RPCG,RRSF,RUGBYR1,SMCSF,SRSF,STANWELL,SWANBANK,TARONG,TARONGN,WANDB1,WARWSF,WDGPH,WHITSF,WIVENHOE,WOOLGSF,YABULU,YARANSF,YARWUN,KABANWF,MOUSF,NEV,EDENVSF,WANDSF,DULAWF,BBATTERY,CHBESS
2024-02-12 00:00:00,0.29206,0.0,0.0,0.0,0.0,0.0,640.6,0.0,0.0,0.0,0.0,0.60374,212.71,0.0,0.0,0.0,49.2141,0.0,0,0.0,839.658,0.0,11.16,0.0,0.0,0.0,-0.057,86.095,0.0,0.0,19.11,748.206,0.0,0.0,-0.016,0.0,47.4,73.4167,0.0,839.49,0.0,0.0,0.0,0.0,0.0,0.0,-0.3,0.0,0.0,0.0,0.0,856.665,-0.58,1323.8,441.062,14.8023,0.0,0.0,0.0,183.57,0.0,0.0,0.0,114.96,74.207,0.0,,0.32442,0.0,129.4,-0.01792,-0.05746
2024-02-12 00:05:00,0.29206,0.0,0.0,0.0,0.0,0.0,653.9,0.0,0.0,0.0,0.0,0.60374,209.82,0.0,0.0,0.0,0.0,0.0,0,0.0,772.393,0.0,11.383,0.0,0.0,0.0,-0.057,86.445,0.0,0.0,18.75,750.841,0.0,0.0,-0.016,0.0,47.4187,67.5799,0.0,839.872,0.0,0.0,0.0,0.0,0.0,0.0,-0.3,0.0,0.0,0.0,0.0,863.715,-0.58,1342.8,443.312,14.3298,0.0,0.0,0.0,168.16,0.0,0.0,0.0,114.4,79.474,0.0,,0.32442,0.0,130.0,0.33413,-0.05746
2024-02-12 00:10:00,0.29206,0.0,0.0,0.0,0.0,0.0,645.7,0.0,0.0,0.0,0.0,0.60374,203.68,0.0,0.0,0.0,0.0,0.0,0,0.0,749.752,0.0,11.338,0.0,0.0,0.0,-0.057,86.2125,0.0,0.0,18.0,743.909,0.0,0.0,-0.016,0.0,47.4563,71.2131,0.0,838.712,0.0,0.0,0.0,0.0,0.0,0.0,-0.3,0.0,0.0,0.0,0.0,898.259,-0.58,1324.9,439.562,15.6991,0.0,0.0,0.0,164.79,0.0,0.0,0.0,115.41,79.988,0.0,,0.32442,0.0,136.6,-1.07883,-0.05746
2024-02-12 00:15:00,0.29206,0.0,0.0,0.0,0.0,0.0,644.3,0.0,0.0,0.0,0.0,0.60374,223.76,0.0,0.0,0.0,0.0,0.0,0,0.0,741.959,0.0,11.463,0.0,0.0,0.0,-0.057,86.0225,0.0,0.0,19.34,748.642,0.0,0.0,-0.016,0.0,47.4187,72.6589,0.0,839.414,0.0,0.0,0.0,0.0,0.0,0.0,-0.3,0.0,0.0,0.0,0.0,863.612,-0.58,1320.3,439.562,8.38878,0.0,0.0,0.0,165.2,0.0,0.0,0.0,115.01,81.797,0.0,,0.32442,0.0,125.3,0.0,-0.05746
2024-02-12 00:20:00,0.29206,0.0,0.0,0.0,0.0,0.0,643.3,0.0,0.0,0.0,0.0,0.60374,226.18,0.0,0.0,0.0,0.0,0.0,0,0.0,740.968,0.0,11.24,0.0,0.0,0.0,-0.057,86.2075,0.0,0.0,18.19,747.652,0.0,0.0,-0.016,0.0,47.4563,67.1007,0.0,839.918,0.0,19.0499992371,0.0,0.0,0.0,0.0,-0.3,0.0,0.0,0.0,0.0,857.229,-0.58,1322.1,440.5,13.7057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.62,72.427,0.0,,0.22066,0.0,126.4,6.00305,-0.05746
2024-02-12 00:25:00,0.29206,0.0,0.0,0.0,0.0,0.0,644.1,0.0,0.0,0.0,0.0,0.60374,221.16,0.0,0.0,0.0,0.0,0.0,0,0.0,741.692,0.0,11.485,0.0,0.0,0.0,-0.057,86.1,0.0,0.0,17.81,746.007,0.0,0.0,-0.016,0.0,47.4,71.2786,0.0,839.307,0.0,62.4399986267,0.0,0.0,0.0,0.0,-0.3,0.0,0.0,0.0,0.0,863.535,-0.58,1325.9,440.312,4.01919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.65,69.553,0.0,,0.22066,0.0,116.5,0.0,-0.05746
2024-02-12 00:30:00,0.29206,0.0,0.0,0.0,0.0,0.0,644.4,0.0,0.0,0.0,0.0,0.60374,228.23,0.0,0.0,0.0,0.0,0.0,0,0.0,744.591,0.0,11.481,0.0,0.0,0.0,-0.057,86.1725,0.0,0.0,16.34,746.108,0.0,0.0,-0.016,0.0,47.4187,70.5782,0.0,839.75,0.0,89.5199966431,0.0,0.0,0.0,0.0,-0.3,0.0,0.0,0.0,0.0,859.741,-0.58,1325.0,441.625,18.804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.95,64.644,0.0,,0.22066,0.0,112.9,1.68054,-0.05746
2024-02-12 00:35:00,0.29206,0.0,0.0,0.0,0.0,0.0,649.4,0.0,0.0,0.0,0.0,0.60374,237.0,0.0,0.0,0.0,0.0,0.0,0,0.0,742.574,0.0,11.31,0.0,0.0,0.0,-0.057,86.155,0.0,0.0,16.48,757.119,0.0,0.0,-0.016,0.0,47.4938,72.0,0.0,840.391,0.0,0.0,0.0,0.0,0.0,0.0,-0.3,0.0,0.0,0.0,0.0,862.83,-0.58,1326.7,441.625,22.4132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.95,66.614,0.0,,0.22066,0.0,115.7,1.02643,-0.05746
2024-02-12 00:40:00,0.29206,0.0,0.0,0.0,0.0,0.0,649.5,0.0,0.0,0.0,0.0,0.60374,245.47,0.0,0.0,0.0,0.0,0.0,0,0.0,742.93,0.0,11.468,0.0,0.0,0.0,-0.057,86.2975,0.0,0.0,19.48,747.769,0.0,0.0,-0.016,0.0,47.3438,71.1148,0.0,839.674,0.0,0.0,0.0,0.0,0.0,0.0,-0.3,0.0,0.0,0.0,0.0,863.92,-0.58,1330.8,440.5,21.0018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.75,71.065,0.0,,0.22066,0.0,120.5,0.0,-0.05746
2024-02-12 00:45:00,0.29206,0.0,0.0,0.0,0.0,0.0,643.9,0.0,0.0,0.0,0.0,0.60374,234.72,0.0,0.0,0.0,0.0,0.0,0,0.0,745.09,0.0,11.262,0.0,0.0,0.0,-0.057,86.125,0.0,0.0,18.67,752.704,0.0,0.0,-0.016,0.0,47.5125,71.254,0.0,838.743,0.0,0.0,0.0,0.0,0.0,0.0,-0.3,0.0,0.0,0.0,0.0,858.024,-0.58,1324.5,439.188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.0,79.635,0.0,,0.22066,0.0,123.4,25.1545,-0.05746
