SETTLEMENTDATE,BANGOWF,BAYSW,BERYLSF,BHILLGT,BOCOROCK,BODWF,BOMENSF,BROKENH,CAPTL_WF,COLEASF,COLONGRA,COLWF0,CROOKWF,CRURWF,CRWASF,CULLERIN,DARLSF1,DG_NSW1,ERARING,ERGT01,FINLYSF,GNNDHSF,GOONSF,GRIFSF,GULLRGWF,GULLRSF,GULLRWF,GUNNING,HEZ1,HILLSTN,HUMENSW,JEMALNG,JUNEESF,LIDDELL,LIMOSF1,LIMOSF2,MANSLR,METZSF,MLSP,MOLNGSF,MOREESF,MP,NETIC,NEVERSF,NYNGAN,PARSF,ROYALLA,SAPHWF,SEBSF,SHOALHAV,SITHE,SNOWY1,SNOWY2,SNOWY3,SNOWY6,STWF,SUNRSF,SUNTPSF,TALLAWAR,TARALGA,URANQ,VP,WAGGNSF,WALGRV,WELLSF,WOODLWN,WRSF,WRWF
2022-07-04 00:00:00,151.798,1916.35,0.0,0,26.26,1.68688,0.0,0.0,118.616,0.0,332.818,197.32,84.1637,60.4967,0.0,26.27,0.0,0,845.425,0,0.0,0.0,0.0,0.0,156.381,0.0,105.794,37.2751,0,0.0,50.1543,0.0,0.0,347.925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,784.125,974.559997559,0.0,0.0,0.0,0.0,27.375,0.0,198.442,0.15386,0.0,0.0,0.0,69.5,180.529,0.0,0.0,190,86.46,0.0,1000.0,0.0,0.0,0.0,37.125,0.0,17.575
2022-07-04 00:05:00,150.393,1910.52,0.0,0,26.4,3.38878,0.0,0.0,119.012,0.0,333.196,192.875,83.9837,57.2976,0.0,26.39,0.0,0,843.95,0,0.0,0.0,0.0,0.0,148.906,0.0,105.748,37.3997,0,0.0,49.833,0.0,0.0,351.788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,815.325,984.66998291,0.0,0.0,0.0,0.0,28.3125,0.0,198.792,0.15386,0.0,0.0,0.0,69.8,180.9,0.0,0.0,191,81.5963,0.0,942.575,0.0,0.0,0.0,36.315,0.0,17.88
2022-07-04 00:10:00,152.399,1924.57,0.0,0,25.73,3.23445,0.0,0.0,119.732,0.0,333.616,193.984,84.1038,58.0,0.0,26.55,0.0,0,850.7,0,0.0,0.0,0.0,0.0,149.459,0.0,105.71,37.5346,0,0.0,49.9496,0.0,0.0,350.194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,868.125,749.5,0.0,0.0,0.0,0.0,26.8594,0.0,198.836,0.1639,0.0,0.0,0.0,69.5,180.54,0.0,0.0,235,82.6762,0.0,967.05,0.0,0.0,0.0,35.433,0.0,17.1137
2022-07-04 00:15:00,149.395,1901.48,0.0,0,23.66,2.52283,0.0,0.0,123.072,0.0,333.028,191.613,84.3837,51.1986,0.0,26.55,0.0,0,836.5,0,0.0,0.0,0.0,0.0,150.656,0.0,105.677,37.4235,0,0.0,49.5684,0.0,0.0,348.075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,882.85,744.890014648,0.0,0.0,0.0,0.0,27.0,0.0,197.767,0.15386,0.0,0.0,0.0,69.8,181.057,0.0,0.0,269,83.1675,0.0,922.775,0.0,0.0,0.0,35.316,0.0,14.3687
2022-07-04 00:20:00,151.8,1917.92,0.0,0,21.91,1.27749,0.0,0.0,122.748,0.0,334.205,203.491,83.3838,51.1986,0.0,26.34,0.0,0,845.175,0,0.0,0.0,0.0,0.0,147.677,0.0,105.905,37.4814,0,0.0,49.6283,0.0,0.0,347.981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,910.6,770.630004883,0.0,0.0,0.0,0.0,24.7125,0.0,198.696,0.15386,0.0,0.0,0.0,69.5,180.81,0.0,0.0,237,87.51,0.0,885.825,0.0,0.0,0.0,36.288,0.0,15.2875
2022-07-04 00:25:00,146.993,1920.12,0.0,0,23.96,0.49727,0.0,0.0,117.308,0.0,280.783,205.6,82.5938,53.1969,0.0,26.14,0.0,0,844.075,0,0.0,0.0,0.0,0.0,146.161,0.0,105.58,37.5513,0,0.0,49.5968,0.0,0.0,352.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,915.6,770.33001709,0.0,0.0,0.0,0.0,25.3031,0.0,198.994,0.17395,0.0,0.0,0.0,69.5,180.81,0.0,0.0,215,93.78,0.0,899.825,0.0,0.0,0.0,34.668,0.0,15.38
2022-07-04 00:30:00,148.398,1915.7,0.0,0,21.12,0.8381,0.0,0.0,122.548,0.0,221.476,198.6,83.6338,54.9958,0.0,26.34,0.0,0,842.4,0,0.0,0.0,0.0,0.0,151.302,0.0,105.469,37.7465,0,0.0,49.685,0.0,0.0,348.825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,901.5,768.609985352,0.0,0.0,0.0,0.0,24.9656,0.0,198.257,0.15386,0.0,0.0,0.0,69.4,181.148,0.0,0.0,222,92.325,0.0,897.475,0.0,0.0,0.0,33.552,0.0,17.5
2022-07-04 00:35:00,149.893,1917.32,0.0,0,22.32,1.0953,0.0,0.0,126.484,0.0,114.816,205.1,83.545,54.7964,0.0,26.19,0.0,0,844.15,0,0.0,0.0,0.0,0.0,152.233,0.0,105.677,37.6758,0,0.0,49.9779,0.0,0.0,351.675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,907.4,815.070007324,0.0,0.0,0.0,0.0,26.1656,0.0,198.303,0.15386,0.0,0.0,0.0,69.5,180.495,0.0,0.0,260,83.6287,0.0,905.95,0.0,0.0,0.0,34.326,0.0,18.3363
2022-07-04 00:40:00,145.294,1909.3,0.0,0,22.49,1.46397,0.0,0.0,125.628,0.0,56.0163,194.08,80.4737,52.4991,0.0,26.41,0.0,0,838.8,0,0.0,0.0,0.0,0.0,149.121,0.0,105.677,37.5989,0,0.0,49.7448,0.0,0.0,344.325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,892.55,795.489990234,0.0,0.0,0.0,0.0,30.3656,0.0,197.561,0.15386,0.0,0.0,0.0,69.5,181.102,0.0,0.0,296,77.2988,0.0,900.375,0.0,0.0,0.0,29.547,0.0,15.8475
2022-07-04 00:45:00,142.998,1913.0,0.0,0,22.92,1.79835,0.0,0.0,124.188,0.0,0.0,201.639,82.7237,53.6001,0.0,26.2,0.0,0,840.625,0,0.0,0.0,0.0,0.0,152.807,0.0,105.625,37.4354,0,0.0,49.7164,0.0,0.0,351.244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,897.65,816.099975586,0.0,0.0,0.0,0.0,29.9062,0.0,198.199,0.15386,0.0,0.0,0.0,69.8,180.551,0.0,0.0,295,76.7775,0.0,901.8,0.0,0.0,0.0,32.832,0.0,15.4975
