SETTLEMENTDATE,B2PS,BARCALDN,BARCSF,BARRON,BLUEGSF,BRAEMARA,CALLIDE,CALLIDEC,CHILDSF,CLARESF,CLERMSF,COLUMSF,COOPGWF,CPSA,CSPVPS,DAYDSF,DDPS1,DDSF,DG_QLD1,EMERASF,G/STONE,GANGARR,GERMCRK,HAMISF,HAUGHT11,HAYMSF,HUGSF,KAREEYA,KEPBG,KEPSF,KEPWF,KOGANCK,KS,LILYSF,LRSF,MARYRSF,MBAHNTH,MEWF,MIDDLSF,MILLMERN,MSTUART,NETIC,OAKEY,OAKEYSF,PIONEER,ROMA,RPCG,RRSF,RUGBYR1,SMCSF,SRSF,STANWELL,SWANBANK,TARONG,TARONGN,WANDB1,WARWSF,WDGPH,WHITSF,WIVENHOE,WOOLGSF,YABULU,YARANSF,YARWUN,KABANWF,MOUSF,NEV,EDENVSF,WANDSF,DULAWF,BBATTERY,CHBESS,WDBESS,MCINTYR
2024-08-19 00:00:00,169.857,0.0,0.0,0.0,0.0,0.0,210.6,0.0,0.0,0.0,0.0,0.0,89.4,0.0,0.0,0.0,640.964,0.0,0,0.0,970.812,0.0,16.749,0.0,0.0,0.0,-0.13,64.4975,0.0,0.0,33.59,700.569,0.0,0.0,0.04,0.0,41.3438,70.783,0.02,562.076,0.0,0.0,0.0,0.0,-0.7,0.0,-0.5,0.0,0.0,0.0,0.0,602.091,0.2175,1218.4,398.688,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.36,98.18,0.0,,0.25622,0.0,99.7,0.0,-0.46168,0.01036,0.0
2024-08-19 00:05:00,170.049,0.0,0.0,0.0,0.0,0.0,210.6,0.0,0.0,0.0,0.0,0.0,95.82,0.0,0.0,0.0,646.706,0.0,0,0.0,908.872,0.0,16.802,0.0,0.0,0.0,-0.13,64.59,0.0,0.0,34.41,702.668,0.0,0.0,0.04,0.0,39.0938,67.9649,0.02,561.634,0.0,0.0,0.0,0.0,-0.7,0.0,-0.5,0.0,0.0,0.0,0.0,608.422,0.2175,1223.4,399.812,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.15,96.591,0.0,,0.25622,0.0,100.4,0.0,0.0,0.01036,0.0
2024-08-19 00:10:00,169.384,0.0,0.0,0.0,0.0,0.0,210.8,0.0,0.0,0.0,0.0,0.0,103.77,0.0,0.0,0.0,646.134,0.0,0,0.0,880.243,0.0,16.982,0.0,0.0,0.0,-0.13,64.735,0.0,0.0,35.24,708.056,0.0,0.0,0.04,0.0,40.3313,63.959,0.02,562.351,0.0,0.0,0.0,0.0,-0.7,0.0,-0.5,0.0,0.0,0.0,0.0,611.435,0.2175,1225.9,400.375,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.45,93.401,0.0,,0.25622,0.0,103.5,0.0,0.01087,0.01036,0.0
2024-08-19 00:15:00,170.2,0.0,0.0,0.0,0.0,0.0,210.8,0.0,0.0,0.0,0.0,0.0,117.72,0.0,0.0,0.0,643.087,0.0,0,0.0,816.915,0.0,16.91,0.0,0.0,0.0,-0.13,64.6875,0.0,0.0,35.09,703.104,0.0,0.0,0.04,0.0,41.0813,61.4564,0.02,562.031,0.0,0.0,0.0,0.0,-0.7,0.0,-0.5,0.0,0.0,0.0,0.0,612.691,0.2175,1222.4,397.75,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.45,93.578,0.0,,0.25622,0.0,103.8,0.0,0.0,0.01036,0.0
2024-08-19 00:20:00,169.958,0.0,0.0,0.0,0.0,0.0,210.9,0.0,0.0,0.0,0.0,0.0,119.34,0.0,0.0,0.0,646.462,0.0,0,0.0,763.984,0.0,16.886,0.0,0.0,0.0,-0.13,64.825,0.0,0.0,35.49,703.658,0.0,0.0,0.04,0.0,41.0813,61.9622,0.02,561.573,0.0,0.0,0.0,0.0,-0.7,0.0,-0.5,0.0,0.0,0.0,0.0,611.729,0.2175,1223.7,401.5,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.67,94.259,0.0,,0.25622,0.0,107.4,0.0,0.13013,0.01036,0.0
2024-08-19 00:25:00,170.693,0.0,0.0,0.0,0.0,0.0,209.8,0.0,0.0,0.0,0.0,0.0,117.53,0.0,0.0,0.0,645.206,0.0,0,0.0,756.273,0.0,16.745,0.0,0.0,0.0,-0.13,64.8525,0.0,0.0,35.83,702.214,0.0,0.0,0.04,0.0,41.25,62.7528,0.02,561.222,0.0,0.0,0.0,0.0,-0.7,0.0,-0.5,0.0,0.0,0.0,0.0,608.897,0.2175,1223.1,400.188,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.71,97.089,0.0,,0.25622,0.0,107.6,0.0,0.0,0.01036,0.0
2024-08-19 00:30:00,170.432,0.0,0.0,0.0,0.0,0.0,210.9,0.0,0.0,0.0,0.0,0.0,115.64,0.0,0.0,0.0,644.23,0.0,0,0.0,718.758,0.0,16.338,0.0,0.0,0.0,-0.13,64.6,0.0,0.0,36.81,705.958,0.0,0.0,0.04,0.0,40.1812,64.5263,0.02,560.703,0.0,0.0,0.0,0.0,-0.7,0.0,-0.5,0.0,0.0,0.0,0.0,610.717,0.2175,1223.6,398.688,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.06,98.657,0.0,,0.25622,0.0,109.5,0.0,0.0,0.01036,0.0
2024-08-19 00:35:00,170.895,0.0,0.0,0.0,0.0,0.0,210.2,0.0,0.0,0.0,0.0,0.0,113.39,0.0,0.0,0.0,643.472,0.0,0,0.0,659.859,0.0,16.913,0.0,0.0,0.0,-0.13,64.8125,0.0,0.0,36.9,703.104,0.0,0.0,0.04,0.0,41.6625,63.9427,0.02,561.466,0.0,0.0,0.0,0.0,-0.7,0.0,-0.5,0.0,0.0,0.0,0.0,615.101,0.2175,1220.6,398.875,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.15,94.785,0.0,,0.25622,0.0,111.3,0.0,0.0101,0.01036,0.0
2024-08-19 00:40:00,170.975,0.0,0.0,0.0,0.0,0.0,210.2,0.0,0.0,0.0,0.0,0.0,110.43,0.0,0.0,0.0,644.828,0.0,0,0.0,638.996,0.0,16.95,0.0,0.0,0.0,-0.13,64.785,0.0,0.0,36.93,705.303,0.0,0.0,0.04,0.0,39.9938,63.6949,0.02,561.405,0.0,0.0,0.0,0.0,-0.7,0.0,-0.5,0.0,0.0,0.0,0.0,613.755,0.2175,1225.4,399.812,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.8,94.842,0.0,,0.25622,0.0,110.2,0.0,0.5752,0.01036,0.0
2024-08-19 00:45:00,170.552,0.0,0.0,0.0,0.0,0.0,210.2,0.0,0.0,0.0,0.0,0.0,101.43,0.0,0.0,0.0,644.14,0.0,0,0.0,637.485,0.0,16.798,0.0,0.0,0.0,-0.13,64.8,0.0,0.0,37.86,704.749,0.0,0.0,0.04,0.0,41.325,68.6449,0.02,560.535,0.0,0.0,0.0,0.0,-0.7,0.0,-0.5,0.0,0.0,0.0,0.0,612.473,0.2175,1222.2,399.062,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.91,100.481,0.0,,0.25622,0.0,112.0,0.0,0.0,0.01036,0.0
